noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,gr%
16B,,KR,5.2,67,64,65,1.73,0,0
16C,,KR,5.2,64,61,62,1.57,0,0
16D,,KR,3.3,61,60,60,0.93,0,0
17A,,SB,5.1,31,29,30,0.36,0,0
17B,,SB,3.9,29,26,27,0.22,0,0
17C,,SB,3,27,26,26,0.16,0,0
18A,,MB,5.1,54,47,50,1,0,0
18B,,MB,5.1,47,43,45,0.81,0,0
18C,,MB,4.1,43,41,42,0.57,0,0
18D,,MB,4.3,41,40,40,0.54,0,0
19A,,KR,5.1,105,85,95,3.61,0,0
19B,,KR,5.1,85,80,82,2.69,0,0
19C,,KR,5.1,80,79,79,2.5,0,0
19D,,KR,5.5,79,78,78,2.63,0,0
31A,,MM,5.1,53,48,50,1,0,0
31B,,MM,5.1,48,44,46,0.85,0,0
31C,,MM,5.2,44,39,41,0.69,0,0
31D,,MM,5.2,39,38,38,0.59,0,0
32A,,NYT,4.1,49,43,46,0.68,0,0
32B,,NYT,4.1,43,40,41,0.54,0,0
32C,,NYT,3.3,39,34,36,0.34,0,0
33A,,M,5.2,51,42,46,0.86,0,0
33B,,M,5.1,42,38,40,0.64,0,0
33C,,M,3.1,38,35,36,0.32,0,0
33D,,M,3.1,35,33,34,0.28,0,0
34A,,M,4.1,49,38,43,0.6,0,0
34B,,M,4.1,38,35,36,0.42,0,0
34C,,M,4.2,35,34,34,0.38,0,0
34D,,M,4.1,34,30,32,0.33,0,0
25A,,M,4.1,40,34,37,0.44,0,0
25B,,M,4.1,34,34,34,0.37,0,0
21A,,RC,4.1,47,42,44,0.62,0,0
21B,,RC,4.1,42,36,39,0.49,0,0
21C,,RC,4.1,36,34,35,0.39,0,0
21D,,RC,4.1,34,32,33,0.35,0,0
22A,,RC,5.1,40,32,36,0.52,0,0
22B,,RC,3.1,32,30,31,0.23,0,0
22C,,RC,3.1,30,26,28,0.19,0,0
23A,,MR,5.1,51,43,47,0.88,0,0
23B,,MR,5.1,43,41,42,0.71,0,0
23C,,MR,4.1,38,36,37,0.44,0,0
24A,,KR,5.1,61,53,57,1.3,0,0
24B,,KR,5.1,53,49,51,1.04,0,0
24C,,KR,5.1,49,48,48,0.92,0,0
24D,,KR,5.1,48,47,47,0.88,0,0
21E,,RC,3.1,32,30,31,0.23,0,0
4A,,BK,5.1,98,77,87,3.03,0,0
4B,,BK,5.1,77,71,74,2.19,0,0
4C,,BK,5.1,71,66,68,1.85,0,0
4D,,BK,3.7,66,63,64,1.19,0,0
2A,,MR,5.2,46,42,44,0.79,0,0
2B,,MR,5.1,42,37,39,0.61,0,0
2C,,MR,5.4,37,33,35,0.52,0,0
3A,,MR,5.4,85,69,77,2.51,0,0
3B,,MR,5.1,69,66,67,1.8,0,0
3C,,MR,5.1,66,61,63,1.59,0,0
3D,,MR,4.1,61,57,59,1.12,0,0
10A,,MR,5.1,46,39,42,0.71,0,0
10B,,MR,5.1,39,34,36,0.52,0,0
10C,,MR,4.3,34,32,33,0.37,0,0
10D,,MR,4.3,32,31,31,0.32,0,0
12A,,RC,4.1,57,55,56,1.01,0,0
12B,,RC,4.1,55,54,54,0.94,0,0
12C,,RC,4.1,54,52,53,0.9,0,0
13A,,RC,5.1,49,38,43,0.74,0,0
13B,,RC,5.1,38,36,37,0.55,0,0
13C,,RC,5.1,36,34,35,0.49,0,0
13D,,RC,3.1,34,33,33,0.27,0,0
14A,,KR,4.1,47,41,44,0.62,0,0
14B,,KR,4.1,41,37,39,0.49,0,0
14C,,KR,4.1,37,32,34,0.37,0,0
14D,,KR,5.5,32,29,30,0.39,0,0
30A,,MR,4.1,71,69,70,1.58,0,0
30B,,MR,4.1,69,62,65,1.36,0,0
30C,,MR,3.1,62,59,60,0.88,0,0
5B,,RC,5.1,55,53,54,1.17,0,0
1A,,RC,5.1,55,50,52,1.08,0,0
1B,,RC,4.1,50,47,48,0.74,0,0
5A,,RC,5.1,59,55,57,1.3,0,0
6A,,RC,5.1,44,39,41,0.67,0,0
6B,,RC,5.1,39,36,37,0.55,0,0
6C,,RC,4.1,36,34,35,0.39,0,0
6D,,RC,3,34,32,33,0.26,0,0
1C,,RC,3.5,47,46,46,0.58,0,0
1D,,RC,3.2,46,45,45,0.51,0,0
